Name,Type,Page,Page Number,Schematic,PartPin,LocationX,LocationY,Zone,IREF
"DEM42","OffPage","04_Locks","4","乐盒智能玩具","R224.1","3610","570","7A","[2]"
"DEM42","OffPage","02_MAIN","2","乐盒智能玩具","U1.74","1520","660","2C","[4]"
"MOTOR1","OffPage","04_Locks","4","乐盒智能玩具","R38.1","3900","110","8A","[2]"
"MOTOR1","OffPage","02_MAIN","2","乐盒智能玩具","U1.1","1810","200","1D","[4]"
"MOTOR5","OffPage","04_Locks","4","乐盒智能玩具","R35.1","3900","150","8A","[2]"
"MOTOR5","OffPage","02_MAIN","2","乐盒智能玩具","U1.5","1810","240","1D","[4]"
"MOTOR7","OffPage","04_Locks","4","乐盒智能玩具","R36.1","3900","170","8A","[2]"
"MOTOR7","OffPage","02_MAIN","2","乐盒智能玩具","U1.10","1810","260","1D","[4]"
"MOTOR11","OffPage","04_Locks","4","乐盒智能玩具","R88.1","3900","210","8A","[2]"
"MOTOR11","OffPage","02_MAIN","2","乐盒智能玩具","U1.14","1810","300","1D","[4]"
"MOTOR13","OffPage","04_Locks","4","乐盒智能玩具","R89.1","3900","230","8A","[2]"
"MOTOR13","OffPage","02_MAIN","2","乐盒智能玩具","U1.18","1810","320","1D","[4]"
"MOTOR15","OffPage","04_Locks","4","乐盒智能玩具","R85.1","3900","250","8A","[2]"
"MOTOR15","OffPage","02_MAIN","2","乐盒智能玩具","U1.20","1810","340","1D","[4]"
"MOTOR31","OffPage","04_Locks","4","乐盒智能玩具","R141.1","3900","410","8A","[2]"
"MOTOR31","OffPage","02_MAIN","2","乐盒智能玩具","U1.47","1810","500","1C","[4]"
"MOTOR27","OffPage","04_Locks","4","乐盒智能玩具","R139.1","3900","370","8A","[2]"
"MOTOR27","OffPage","02_MAIN","2","乐盒智能玩具","U1.43","1810","460","1C","[4]"
"MOTOR25","OffPage","04_Locks","4","乐盒智能玩具","R138.1","3900","350","8A","[2]"
"MOTOR25","OffPage","02_MAIN","2","乐盒智能玩具","U1.41","1810","440","1C","[4]"
"MOTOR23","OffPage","04_Locks","4","乐盒智能玩具","R143.1","3900","330","8A","[2]"
"MOTOR23","OffPage","02_MAIN","2","乐盒智能玩具","U1.35","1810","420","1C","[4]"
"MOTOR17","OffPage","04_Locks","4","乐盒智能玩具","R86.1","3900","270","8A","[2]"
"MOTOR17","OffPage","02_MAIN","2","乐盒智能玩具","U1.22","1810","360","1C","[4]"
"MOTOR19","OffPage","04_Locks","4","乐盒智能玩具","R87.1","3900","290","8A","[2]"
"MOTOR19","OffPage","02_MAIN","2","乐盒智能玩具","U1.27","1810","380","1C","[4]"
"MOTOR21","OffPage","04_Locks","4","乐盒智能玩具","R142.1","3900","310","8A","[2]"
"MOTOR21","OffPage","02_MAIN","2","乐盒智能玩具","U1.29","1810","400","1C","[4]"
"DEM19","OffPage","04_Locks","4","乐盒智能玩具","R112.1,R118.2","3610","290","7A","[2]"
"DEM19","OffPage","02_MAIN","2","乐盒智能玩具","D6.1","1520","380","2C","[4]"
"MOTOR3","OffPage","04_Locks","4","乐盒智能玩具","R39.1","3900","130","8A","[2]"
"MOTOR3","OffPage","02_MAIN","2","乐盒智能玩具","U1.3","1810","220","1D","[4]"
"DEM49","OffPage","04_Locks","4","乐盒智能玩具","R236.1","3610","640","7A","[2]"
"DEM49","OffPage","02_MAIN","2","乐盒智能玩具","U1.91","1520","730","2C","[4]"
"MOTOR33","OffPage","04_Locks","4","乐盒智能玩具","R190.1","3900","480","8A","[2]"
"MOTOR33","OffPage","02_MAIN","2","乐盒智能玩具","U1.49","1810","570","1C","[4]"
"DEM51","OffPage","04_Locks","4","乐盒智能玩具","R240.1","3610","660","7A","[2]"
"DEM51","OffPage","02_MAIN","2","乐盒智能玩具","U1.97","1520","750","2B","[4]"
"MOTOR37","OffPage","04_Locks","4","乐盒智能玩具","R186.1","3900","520","8A","[2]"
"MOTOR37","OffPage","02_MAIN","2","乐盒智能玩具","U1.59","1810","610","1C","[4]"
"MOTOR41","OffPage","04_Locks","4","乐盒智能玩具","R192.1","3900","560","8A","[2]"
"MOTOR41","OffPage","02_MAIN","2","乐盒智能玩具","U1.69","1810","650","1C","[4]"
"MOTOR43","OffPage","04_Locks","4","乐盒智能玩具","R191.1","3900","580","8A","[2]"
"MOTOR43","OffPage","02_MAIN","2","乐盒智能玩具","U1.75","1810","670","1C","[4]"
"MOTOR47","OffPage","04_Locks","4","乐盒智能玩具","R235.1","3900","620","8A","[2]"
"MOTOR47","OffPage","02_MAIN","2","乐盒智能玩具","U1.85","1810","710","1C","[4]"
"MOTOR49","OffPage","04_Locks","4","乐盒智能玩具","R233.1","3900","640","8A","[2]"
"MOTOR49","OffPage","02_MAIN","2","乐盒智能玩具","U1.89","1810","730","1C","[4]"
"MOTOR51","OffPage","04_Locks","4","乐盒智能玩具","R234.1","3900","660","8A","[2]"
"MOTOR51","OffPage","02_MAIN","2","乐盒智能玩具","U1.93","1810","750","1B","[4]"
"MOTOR53","OffPage","04_Locks","4","乐盒智能玩具","R239.1","3900","680","8A","[2]"
"MOTOR53","OffPage","02_MAIN","2","乐盒智能玩具","U1.99","1810","770","1B","[4]"
"MOTOR2","OffPage","04_Locks","4","乐盒智能玩具","R27.1","3900","120","8A","[2]"
"MOTOR2","OffPage","02_MAIN","2","乐盒智能玩具","U1.2","1810","210","1D","[4]"
"MOTOR4","OffPage","04_Locks","4","乐盒智能玩具","R29.1","3900","140","8A","[2]"
"MOTOR4","OffPage","02_MAIN","2","乐盒智能玩具","U1.4","1810","230","1D","[4]"
"DEM1","OffPage","04_Locks","4","乐盒智能玩具","R63.1,R65.2","3610","110","7A","[2]"
"DEM1","OffPage","02_MAIN","2","乐盒智能玩具","D3.1","1520","200","2D","[4]"
"MOTOR6","OffPage","04_Locks","4","乐盒智能玩具","R25.1","3900","160","8A","[2]"
"MOTOR6","OffPage","02_MAIN","2","乐盒智能玩具","U1.7","1810","250","1D","[4]"
"DEM3","OffPage","04_Locks","4","乐盒智能玩具","R64.1,R66.2","3610","130","7A","[2]"
"DEM3","OffPage","02_MAIN","2","乐盒智能玩具","D7.1","1520","220","2D","[4]"
"MOTOR8","OffPage","04_Locks","4","乐盒智能玩具","R32.1","3900","180","8A","[2]"
"MOTOR8","OffPage","02_MAIN","2","乐盒智能玩具","U1.11","1810","270","1D","[4]"
"DEM5","OffPage","04_Locks","4","乐盒智能玩具","R60.1,R67.2","3610","150","7A","[2]"
"DEM5","OffPage","02_MAIN","2","乐盒智能玩具","D11.1","1520","240","2D","[4]"
"MOTOR9","OffPage","04_Locks","4","乐盒智能玩具","R37.1","3900","190","8A","[2]"
"MOTOR9","OffPage","02_MAIN","2","乐盒智能玩具","U1.12","1810","280","1D","[4]"
"DEM7","OffPage","04_Locks","4","乐盒智能玩具","R61.1,R68.2","3610","170","7A","[2]"
"DEM7","OffPage","02_MAIN","2","乐盒智能玩具","D15.1","1520","260","2D","[4]"
"DEM8","OffPage","04_Locks","4","乐盒智能玩具","R31.1,R50.2","3610","180","7A","[2]"
"DEM8","OffPage","02_MAIN","2","乐盒智能玩具","D17.1","1520","270","2D","[4]"
"MOTOR12","OffPage","04_Locks","4","乐盒智能玩具","R77.1","3900","220","8A","[2]"
"MOTOR12","OffPage","02_MAIN","2","乐盒智能玩具","U1.15","1810","310","1D","[4]"
"MOTOR14","OffPage","04_Locks","4","乐盒智能玩具","R78.1","3900","240","8A","[2]"
"MOTOR14","OffPage","02_MAIN","2","乐盒智能玩具","U1.19","1810","330","1D","[4]"
"DEM10","OffPage","04_Locks","4","乐盒智能玩具","R33.1,R42.2","3610","200","7A","[2]"
"DEM10","OffPage","02_MAIN","2","乐盒智能玩具","D21.1","1520","290","2D","[4]"
"MOTOR16","OffPage","04_Locks","4","乐盒智能玩具","R75.1","3900","260","8A","[2]"
"MOTOR16","OffPage","02_MAIN","2","乐盒智能玩具","U1.21","1810","350","1D","[4]"
"MOTOR18","OffPage","04_Locks","4","乐盒智能玩具","R80.1","3900","280","8A","[2]"
"MOTOR18","OffPage","02_MAIN","2","乐盒智能玩具","U1.26","1810","370","1C","[4]"
